索引ページ,列,行,用語,掲載ページ,要確認の理由,読み取り候補1,読み取り候補2
946,1,2,単一区画方式,318,用語の読み取り候補が不一致,单一区画方式,単一区画方式
946,1,3,探索回数での,410,ページ認識の確度,探索回数,探索回数での
946,1,4,単純マルコフ骨程-me,80,ページ認識の確度 / 用語の読み取り候補が不一致,单程,単純マルコフ骨程-me
946,1,7,単方向リスト,385,ページ認識の確度,单方向U,単方向リスト
946,1,8,チェイン法,607,用語の読み取り候補が不一致,法,チェイン法
946,1,9,チェックサム,538,ページ認識の確度 / 用語の読み取り候補が不一致,于,チェックサム
946,1,13,チェックボックス,708,用語の読み取り候補が不一致,于,チェックボックス
946,1,14,次制御方式,168,用語の読み取り候補が不一致,逐次制御方式,次制御方式
946,1,18,中央処理装置acacsoee:ee,167,用語の読み取り候補が不一致,中央处理装置,中央処理装置acacsoee:ee
946,1,19,抽出,461,用語の読み取り候補が不一致,抽出,wetsenecreccancser
946,1,20,調達管理,802,用語の読み取り候補が不一致,调達管理,調達管理
946,1,22,Gm Anca e een e,439,補完した行を要確認,,Gm Anca e een e 
946,1,23,直接アドレス指定方式,179,用語の読み取り候補が不一致,直接指定方式,直接アドレス指定方式
946,1,24,直接制御方式…,254,ページ認識の確度 / 用語の読み取り候補が不一致,查接制御方式,直接制御方式…
946,1,26,直列につながっているシステム,784,ページ認識の確度 / 用語の読み取り候補が不一致,列,直列につながっているシステム
946,1,28,著作権の帰属先,68,ページ認識の確度 / 用語の読み取り候補が不一致,著作棍の师属先,著作権の帰属先
946,1,29,著作者人格棒…scene,891,用語の読み取り候補が不一致,著作者人格,著作者人格棒…scene
946,1,30,通常ファイル,346,用語の読み取り候補が不一致,通常,通常ファイル
946,1,33,釣鐘状,84,ページ認識の確度,的鐘状,釣鐘状
946,1,34,提案依頼書,675,用語の読み取り候補が不一致,提案依類書,提案依頼書
946,1,37,定義ファイル・,634,用語の読み取り候補が不一致,定,定義ファイル・
946,1,42,ディスバッチャ・,298,用語の読み取り候補が不一致,于,ディスバッチャ・
946,1,44,ディスプレイの種類…FT,271,用語の読み取り候補が不一致,種類,ディスプレイの種類…FT
946,1,46,ディレクトリトラバーサル攻撃,625,用語の読み取り候補が不一致,攻,ディレクトリトラバーサル攻撃
946,1,47,aesSeacvees,727,英字の用語が不鮮明 / ページ認識の確度,,aesSeacvees
946,2,1,データ操作言語,457,ページ認識の確度,于一夕操作言语,データ操作言語
946,2,6,データフローダイアグラム,700,用語の読み取り候補が不一致,夕,データフローダイアグラム
946,2,9,データベースの設計,440,用語の読み取り候補が不一致,一夕の,データベースの設計
946,2,12,データを整列させるアルゴリズム,414,用語の読み取り候補が不一致,整列,データを整列させるアルゴリズム
946,2,13,データを探索するアルゴリズム,403,用語の読み取り候補が不一致,一夕探,データを探索するアルゴリズム
946,2,14,テキスト形式,594,用語の読み取り候補が不一致,形式,テキスト形式
946,2,19,デジタルカメラ,268,ページ認識の確度,,デジタルカメラ
946,2,20,デジタル賭名,"650,656",用語の読み取り候補が不一致,署名,デジタル賭名
946,2,21,デジタルデータ,120,ページ認識の確度 / 用語の読み取り候補が不一致,一夕,デジタルデータ
946,2,22,手順的強度,724,ページ認識の確度 / 用語の読み取り候補が不一致,手顺的强度,手順的強度
946,2,24,テストカバレージ分析ツール,749,用語の読み取り候補が不一致,分析,テストカバレージ分析ツール
946,2,26,テスト支援ツール,749,用語の読み取り候補が不一致,支援,テスト支援ツール
946,2,27,テストテータの決めごと,747,用語の読み取り候補が不一致,一夕決,テストテータの決めごと
946,2,30,ッドロック,"312,487",用語の読み取り候補が不一致,y,ッドロック
946,2,40,点,87,用語が欠落または短い / ページ認識の確度,点,ee
946,2,41,電荷結素子,268,用語の読み取り候補が不一致,電荷結合秦子,電荷結素子
946,2,42,電子計算機損壊等業務妨害,906,用語の読み取り候補が不一致,電子叶算機损袋等業務妨害,電子計算機損壊等業務妨害
946,2,43,電子署名法,656,用語の読み取り候補が不一致,電子著名法,電子署名法
946,2,45,電子メールソフト,586,用語の読み取り候補が不一致,電子,電子メールソフト
946,2,46,電子商取引,868,用語の読み取り候補が不一致,電子商取引1,電子商取引
946,2,47,伝送効率,520,用語の読み取り候補が不一致,运送劲率,伝送効率
946,2,48,同一性保持,891,用語の読み取り候補が不一致,同一性保持,ERIS
946,2,50,投機実行,197,用語の読み取り候補が不一致,投機实行,投機実行
946,2,52,統計,83,ページ認識の確度,統計,統計
946,2,54,同値分害,747,用語の読み取り候補が不一致,同值分割,同値分害
946,2,55,到着顺方式,298,用語の読み取り候補が不一致,到着顺方式,EVGARCCCHTDRECTee
946,2,56,盗,651,用語が欠落または短い / 用語の読み取り候補が不一致,盗,Fisted
946,2,57,動的アドレス変換機構,332,用語の読み取り候補が不一致,動的变换機,動的アドレス変換機構
946,2,58,動的ヒューリスティック法,635,用語の読み取り候補が不一致,動的法,動的ヒューリスティック法
946,2,59,動的変数,369,用語の読み取り候補が不一致,動的变数,動的変数
946,2,60,動的優先順位方式,299,用語の読み取り候補が不一致,動的優先顺位方式,動的優先順位方式
947,1,1,動的リンク,36,ページ認識の確度,動的>,動的リンク
947,1,4,トークンバッシング方式,51,用語の読み取り候補が不一致,方式,トークンバッシング方式
947,1,6,通付顺,40,用語の読み取り候補が不一致,通付顺,BODeemee
947,1,7,特殊な言語プロセ,35,用語の読み取り候補が不一致,特殊,特殊な言語プロセ
947,1,8,特殊ファイル,34,用語の読み取り候補が不一致,特殊,特殊ファイル
947,1,9,特性要因図,"847,85",用語の読み取り候補が不一致,特性要因区,特性要因図
947,1,10,特定電気遂信役務提供者…emem,90,用語の読み取り候補が不一致,特定電氛通信役務提供者,特定電気遂信役務提供者…emem
947,1,12,特定のピットを取り出す,15,用語の読み取り候補が不一致,特定の卜取出,特定のピットを取り出す
947,1,18,ドメイン名,"565,58",用語の読み取り候補が不一致,名,ドメイン名
947,1,19,ドモルガンの法則・,5,ページ認識の確度 / 用語の読み取り候補が不一致,法则,ドモルガンの法則・
947,1,24,トランザクション管理…eessece,48,用語の読み取り候補が不一致,管理,トランザクション管理…eessece
947,1,25,トランザクション分割法,72,用語の読み取り候補が不一致,割法,トランザクション分割法
947,1,27,取引基本規約,87,用語の読み取り候補が不一致,取引基本规豹,取引基本規約
947,1,28,取引の形態,86,用語の読み取り候補が不一致,取引の形燃,取引の形態
947,1,30,トロイの木馬,63,用語の読み取り候補が不一致,馬,トロイの木馬
947,1,32,内部設計,68,用語の読み取り候補が不一致,内部设計,内部設計
947,1,33,内部統制,82,用語の読み取り候補が不一致,内部制,内部統制
947,1,35,内部制,30,用語の読み取り候補が不一致,内部制,PBBBHAdswensece
947,1,44,入出力インタフェース,25,用語の読み取り候補が不一致,出,入出力インタフェース
947,1,45,入出力制御方式,25,ページ認識の確度 / 用語の読み取り候補が不一致,入出力制方式,入出力制御方式
947,1,46,入出,"250,26",用語の読み取り候補が不一致,入出,ALATFINIAeceespeasnas
947,1,48,ニューメリックチェック,71,用語の読み取り候補が不一致,二,ニューメリックチェック
947,1,50,入力処理,72,用語の読み取り候補が不一致,入力处理,入力処理
947,1,51,入力ミスを判定するチェック方法,71,用語の読み取り候補が不一致,入力判定方法,入力ミスを判定するチェック方法
947,1,54,根,39,用語が欠落または短い,根,
947,1,56,ネットワークアドレス,55,用語の読み取り候補が不一致,部,ネットワークアドレス
947,1,57,ネットワーク型,43,用語の読み取り候補が不一致,型,ネットワーク型
947,2,2,ネットワークに潜む区威,606,用語の読み取り候補が不一致,威,ネットワークに潜む区威
947,2,3,ネットワークの伝送速度,520,用語の読み取り候補が不一致,一送速度,ネットワークの伝送速度
947,2,5,ネットワークを管理するプロトコル,567,用語の読み取り候補が不一致,管,ネットワークを管理するプロトコル
947,2,6,ネットワークを要成する装置,523,用語の読み取り候補が不一致,卜一成装,ネットワークを要成する装置
947,2,8,熟溶解積層方式,276,用語の読み取り候補が不一致,热溶解層方式,熟溶解積層方式
947,2,10,能力成熟度毛亏儿统合,690,用語の読み取り候補が不一致,能力成熟度毛亏儿统合,HARAREIVESFTRTH
947,2,12,ノンブリエンティブ方式,301,用語の読み取り候補が不一致,方式,ノンブリエンティブ方式
947,2,13,ノンプリエンブプション,298,ページ認識の確度,,ノンプリエンブプション
947,2,14,dPNOREDROSEOREOOEESEOSEOEREDEOREDEROR,393,英字の用語が不鮮明,,dPNOREDROSEOREOOEESEOSEOEREDEOREDEROR
947,2,15,場合の数,"7,1",ページ認識の確度,場合の数,場合の数
947,2,20,ハードウェア,281,用語の読み取り候補が不一致,八,ハードウェア
947,2,22,ハードディスクの記憶容量,230,ページ認識の確度 / 用語の読み取り候補が不一致,八憶容量,ハードディスクの記憶容量
947,2,23,ハードディスクの構造,228,用語の読み取り候補が不一致,造,ハードディスクの構造
947,2,24,バイアス,35,ページ認識の確度,,バイアス
947,2,25,バイオメトリクス認証,621,用語の読み取り候補が不一致,才,バイオメトリクス認証
947,2,26,排他的論理和,"56,141",用語の読み取り候補が不一致,排他的理和,排他的論理和
947,2,30,バイナリセマフォ,311,ページ認識の確度,,バイナリセマフォ
947,2,32,バイプライン処理,"195,196",用語の読み取り候補が不一致,处理,バイプライン処理
947,2,35,バグ,743,ページ認識の確度,八,バグ
947,2,38,バケット交換方式,506,ページ認識の確度,卜交换方式,バケット交換方式
947,2,40,バケットヘッダ,560,用語の読み取り候補が不一致,八夕,バケットヘッダ
947,2,42,派遣契約,886,用語の読み取り候補が不一致,派契约,派遣契約
947,2,44,八,250,用語が欠落または短い,八,NA
947,2,46,八型,507,用語の読み取り候補が不一致,八型,NAWpeveovescesveccsveceesUL
947,2,51,バスワードリスト攻撃,624,用語の読み取り候補が不一致,攻,バスワードリスト攻撃
947,2,53,バターン表現,110,ページ認識の確度,夕表现,バターン表現
947,2,55,バッカス・ナウア記法,116,ページ認識の確度 / 用語の読み取り候補が不一致,法,バッカス・ナウア記法
947,2,56,バックアップ,"493,795",用語の読み取り候補が不一致,y,バックアップ
947,2,58,パッケージ疫,737,用語の読み取り候補が不一致,一,パッケージ疫
948,1,1,バッシブ型,270,用語の読み取り候補が不一致,型,バッシブ型
948,1,2,ハッシコ関数,408,用語の読み取り候補が不一致,八数,ハッシコ関数
948,1,3,ハッシュ値,657,ページ認識の確度,八值,ハッシュ値
948,1,4,ハッシュ法,"403,408",用語の読み取り候補が不一致,法,ハッシュ法
948,1,5,八手处理,761,用語の読み取り候補が不一致,八手处理,NyFMBPPemem
948,1,6,発病機能,631,用語の読み取り候補が不一致,凳病機能,発病機能
948,1,9,幅優先顺,399,用語の読み取り候補が不一致,幅優先顺,EIR
948,1,10,八,529,用語が欠落または短い,八,ND
948,1,12,八フマン符号化・,102,用語の読み取り候補が不一致,符号化,八フマン符号化・
948,1,13,バブルソート,415,ページ認識の確度,,バブルソート
948,1,14,ハミルトン閉路-上,89,ページ認識の確度 / 用語の読み取り候補が不一致,八阴路,ハミルトン閉路-上
948,1,15,ハミング符号…rrrrr,540,用語の読み取り候補が不一致,符号,ハミング符号…rrrrr
948,1,17,バラレル方式外部バスインタフェース,260,用語の読み取り候補が不一致,方式部,バラレル方式外部バスインタフェース
948,1,18,バリティチェエック…TTYT,"535,536",用語の読み取り候補が不一致,U,バリティチェエック…TTYT
948,1,19,バリティビット,536,ページ認識の確度 / 用語の読み取り候補が不一致,U,バリティビット
948,1,21,バルク転送|avec,262,ページ認識の確度 / 用語の読み取り候補が不一致,辐送,バルク転送|avec
948,1,23,バレートの法則,873,用語の読み取り候補が不一致,法则,バレートの法則
948,1,24,汎化sev,732,ページ認識の確度 / 用語の読み取り候補が不一致,沉化,汎化sev
948,1,25,半加算器,"145,146",用語の読み取り候補が不一致,半加算器,MRSTUU
948,1,27,番地*PT,169,用語の読み取り候補が不一致,番地,番地*PT
948,1,28,判定条件綱難,748,用語の読み取り候補が不一致,判定条件露,判定条件綱難
948,1,29,半二重通信,261,用語の読み取り候補が不一致,半二重通信,$xRE
948,1,31,汎用レジスタ,172,用語の読み取り候補が不一致,沉用,汎用レジスタ
948,1,35,比較演算子,460,ページ認識の確度 / 用語の読み取り候補が不一致,比较演算子,比較演算子
948,1,36,光磁,245,用語の読み取り候補が不一致,光磁,HBRTIADeopenee
948,1,38,光ディスク,244,用語の読み取り候補が不一致,光,光ディスク
948,1,45,非総端記号,113,ページ認識の確度 / 用語の読み取り候補が不一致,非终端配号,非総端記号
948,1,48,非正規形,"450,451",用語の読み取り候補が不一致,非正规形,非正規形
948,1,49,非対称型マルチブプロセッサ,202,ページ認識の確度 / 用語の読み取り候補が不一致,非对称型,非対称型マルチブプロセッサ
948,1,51,左論理シフト,39,ページ認識の確度 / 用語の読み取り候補が不一致,左理,左論理シフト
948,1,54,ピッグバンテスト…,750,ページ認識の確度,,ピッグバンテスト…
948,1,56,卜率,542,用語の読み取り候補が不一致,卜率,EyhiROxa0desccccvoccscesv
948,2,2,ビットの反転,153,用語の読み取り候補が不一致,反,ビットの反転
948,2,3,ヒッット率,219,用語の読み取り候補が不一致,率,ヒッット率
948,2,5,否定論理積,141,用語の読み取り候補が不一致,否定理,否定論理積
948,2,6,否定論理和,141,ページ認識の確度 / 用語の読み取り候補が不一致,否定瑜理和,否定論理和
948,2,7,才,273,用語が欠落または短い / 用語の読み取り候補が不一致,才,EFARAM
948,2,9,否懿防止,609,用語の読み取り候補が不一致,否懿防止,BPEMIE
948,2,10,ビヘイビア法,635,用語の読み取り候補が不一致,法,ビヘイビア法
948,2,12,秘密键暗号方式,653,用語の読み取り候補が不一致,秘密键暗号方式,DERBSAK
948,2,13,ピューの定義,481,ページ認識の確度,の定,ピューの定義
948,2,15,ヒューリスティック評価法,712,ページ認識の確度 / 用語の読み取り候補が不一致,法,ヒューリスティック評価法
948,2,16,git) Pererrerrer errr ttt,910,補完した行を要確認,,git) Pererrerrer errr ttt 
948,2,21,標萍倡差分布,85,用語の読み取り候補が不一致,標萍倡差分布,SREannace
948,2,22,表と表を結合する,464,用語の読み取り候補が不一致,表表精合,表と表を結合する
948,2,26,標本調査,83,ページ認識の確度 / 用語の読み取り候補が不一致,標本明查,標本調査
948,2,35,フィードバック制御cogecnaunascess:,162,用語の読み取り候補が不一致,制,フィードバック制御cogecnaunascess:
948,2,38,ブール演算,56,ページ認識の確度,,ブール演算
948,2,40,フェールオーバ,763,用語の読み取り候補が不一致,才,フェールオーバ
948,2,50,フォロワ戦略,879,用語の読み取り候補が不一致,载略,フォロワ戦略
948,2,52,深優先顺,399,用語の読み取り候補が不一致,深優先顺,REBER
948,2,54,負荷分散クラスタ,762,用語の読み取り候補が不一致,負荷分散,負荷分散クラスタ
948,2,55,不揮発性,210,用語の読み取り候補が不一致,不操性,不揮発性
948,2,58,復合構造区,737,用語の読み取り候補が不一致,復合構造区,iBer
948,2,59,復数条件網羅,748,用語の読み取り候補が不一致,復数条件羅,復数条件網羅
949,1,1,復製,891,ページ認識の確度,復製,RE
949,1,3,符号化,"100,135",ページ認識の確度,符号化,符号化
949,1,5,不正禁止法,903,用語の読み取り候補が不一致,不正禁止法,IEPIVARIEFT
949,1,6,不正競争防止法,968,掲載ページの数字 / 用語の読み取り候補が不一致,不正争防止法,不正競争防止法
949,1,7,不正指令電磁的記绿仁阅寸孕罪,906,用語の読み取り候補が不一致,不正指令電磁的記绿仁阅寸孕罪,FESTSRARRCYY
949,1,8,不正のトライアングル,614,補完した行を要確認,,不正のトライアングル
949,1,9,物理設計,440,用語の読み取り候補が不一致,物理设计,物理設計
949,1,12,部分関数従属,453,用語の読み取り候補が不一致,部分数属,部分関数従属
949,1,15,プライバシーバイデザイン,617,ページ認識の確度,,プライバシーバイデザイン
949,1,16,プライベートIPアドレス,50,ページ認識の確度 / 用語の読み取り候補が不一致,P,プライベートIPアドレス
949,1,19,フラグメンテーション PCOOCEUUEUULUULLLLLLLLLLD,"235,320",補完した行を要確認,,フラグメンテーション PCOOCEUUEUULUULLLLLLLLLLD
949,1,26,プリエンティブ方式,301,用語の読み取り候補が不一致,方式,プリエンティブ方式
949,1,30,フリップフロップ回路,"142,211",用語の読み取り候補が不一致,路,フリップフロップ回路
949,1,31,プリペイドカードに,871,ページ認識の確度 / 用語の読み取り候補が不一致,U,プリペイドカードに
949,1,33,プリンタの種類,274,用語の読み取り候補が不一致,種類,プリンタの種類
949,1,34,プリンタの性能指標,275,用語の読み取り候補が不一致,の性能指標,プリンタの性能指標
949,1,35,フリンの分類,203,用語の読み取り候補が不一致,U分,フリンの分類
949,1,36,方式,220,用語の読み取り候補が不一致,方式,IMPIIEFAmv
949,1,38,ブルートフォース,624,用語の読み取り候補が不一致,攻,ブルートフォース
949,1,39,プブルーフリスト,830,用語の読み取り候補が不一致,U,プブルーフリスト
949,1,45,プレシデンスダイアグラム法,812,用語の読み取り候補が不一致,法,プレシデンスダイアグラム法
949,1,47,フローチャートで使う記号,375,用語の読み取り候補が不一致,70使号,フローチャートで使う記号
949,1,53,プログラム記憶方式,168,用語の読み取り候補が不一致,憶方式,プログラム記憶方式
949,1,54,ブログラム実行手順,359,用語の読み取り候補が不一致,寸实行手顺,ブログラム実行手順
949,1,55,プログラムステップ法,676,用語の読み取り候補が不一致,法,プログラムステップ法
949,1,56,プログラム制御方式,254,用語の読み取り候補が不一致,制御方式,プログラム制御方式
949,1,58,ブログラム内蔵方式,168,用語の読み取り候補が不一致,内藏方式,ブログラム内蔵方式
949,1,59,プログラムの局所参照性,217,用語の読み取り候補が不一致,の局所参照性,プログラムの局所参照性
949,2,1,プログラムの模造化設計,721,用語の読み取り候補が不一致,の構造化計,プログラムの模造化設計
949,2,2,プログラムの作り方…easeesss,350,用語の読み取り候補が不一致,の作方,プログラムの作り方…easeesss
949,2,9,プロセス成熟度モテル,690,用語の読み取り候補が不一致,成熟度,プロセス成熟度モテル
949,2,10,プロダクトイノベーション,862,ページ認識の確度,,プロダクトイノベーション
949,2,12,ブロック暗号方式,660,用語の読み取り候補が不一致,暗号方式,ブロック暗号方式
949,2,16,プロバイダ責任制限法,905,用語の読み取り候補が不一致,夕青任制限法,プロバイダ責任制限法
949,2,18,分割統治法,425,用語の読み取り候補が不一致,分割统治法,分割統治法
949,2,20,分岐網耀,748,用語の読み取り候補が不一致,分岐網耀,DRAB1
949,2,21,分岐予測,197,用語の読み取り候補が不一致,分岐予测,分岐予測
949,2,22,分英処理,"514,758",用語の読み取り候補が不一致,分散处理,分英処理
949,2,23,分散データベースシステム,498,用語の読み取り候補が不一致,分散,分散データベースシステム
949,2,24,分析手法,836,用語の読み取り候補が不一致,分析手法,DHFRo
949,2,25,分配法則,54,用語の読み取り候補が不一致,分配法则,分配法則
949,2,26,文眠自由文法,113,ページ認識の確度 / 用語の読み取り候補が不一致,文眠自由文法,SREBIGE
949,2,28,平均故障問隔,"779,781",用語の読み取り候補が不一致,平均故障問隔,FOR
949,2,30,平均情報量,"99,101",用語の読み取り候補が不一致,平均情报量,平均情報量
949,2,31,平方根,65,用語の読み取り候補が不一致,平方根,FARFTTTTTTD
949,2,33,並列処理,202,用語の読み取り候補が不一致,列处理,並列処理
949,2,34,並列につながっているシステム,786,用語の読み取り候補が不一致,列,並列につながっているシステム
949,2,35,阴路,88,ページ認識の確度 / 用語認識の確度,阴路,
949,2,41,ページの置き換えアルゴリズム,338,用語の読み取り候補が不一致,置换,ページの置き換えアルゴリズム
949,2,44,ページング方式,335,用語の読み取り候補が不一致,方式,ページング方式
949,2,45,ベースアドレス指定方式,182,用語の読み取り候補が不一致,指定方式,ベースアドレス指定方式
949,2,50,,87,用語が欠落または短い / 用語認識の確度,,
949,2,51,变换处理,723,ページ認識の確度 / 用語の読み取り候補が不一致,变换处理,BRM
949,2,57,変動比率,914,用語の読み取り候補が不一致,变動比率,変動比率
950,1,1,方位センサ,161,ページ認識の確度,方位,方位センサ
950,1,3,法人著作,893,用語の読み取り候補が不一致,法人著作,EAB
950,1,8,保証意見,832,ページ認識の確度 / 用語の読み取り候補が不一致,保证意见,保証意見
950,1,10,補助単位,124,ページ認識の確度 / 用語の読み取り候補が不一致,補助单位,補助単位
950,1,12,ホストアドレス部,551,ページ認識の確度 / 用語の読み取り候補が不一致,部,ホストアドレス部
950,1,20,基,748,用語が欠落または短い / ページ認識の確度 / 用語の読み取り候補が不一致,基,MITKMRYIAFAROMMRAE
950,1,21,マージソート,419,ページ認識の確度,,マージソート
950,1,26,マクロウイルス,632,ページ認識の確度,,マクロウイルス
950,1,27,負け犬,877,用語の読み取り候補が不一致,负付犬I i i i,負け犬
950,1,30,マッシュアップ,969,掲載ページの数字,,マッシュアップ
950,1,31,マトリックス図法,847,用語の読み取り候補が不一致,法,マトリックス図法
950,1,33,マトリックステータダ,847,用語の読み取り候補が不一致,夕解析法,マトリックステータダ
950,1,34,摩耗故障期間t,790,用語の読み取り候補が不一致,摩耗故障期間,摩耗故障期間t
950,1,36,マルコフ選程,80,用語の読み取り候補が不一致,通程,マルコフ選程
950,1,40,マルチプロセッサ,204,用語の読み取り候補が不一致,儿,マルチプロセッサ
950,1,42,マルチメデティアデータの表現方法,132,用語の読み取り候補が不一致,夕の表現方法,マルチメデティアデータの表現方法
950,1,44,石算術シフト,40,用語の読み取り候補が不一致,右算,石算術シフト
950,1,46,右論理シフト,39,ページ認識の確度 / 用語の読み取り候補が不一致,右理,右論理シフト
950,1,47,密结合型,204,用語の読み取り候補が不一致,密结合型,et
950,1,48,密結合マルチプロセッサ,204,用語の読み取り候補が不一致,密,密結合マルチプロセッサ
950,1,49,ミコ,84,ページ認識の確度,三1,ミコ
950,1,52,無限集,52,ページ認識の確度,無限集合,無限集
950,2,1,RITンタフェース,264,用語の読み取り候補が不一致,無,RITンタフェース
950,2,4,人令実行,176,ページ認識の確度 / 用語の読み取り候補が不一致,命实行,人令実行
950,2,5,命令の解読,174,ページ認識の確度 / 用語の読み取り候補が不一致,命命の解睛,命令の解読
950,2,7,a=ックス,192,用語の読み取り候補が不一致,命,a=ックス
950,2,8,命令レジスタ,172,用語の読み取り候補が不一致,命,命令レジスタ
950,2,10,メールアドレス,587,用語の読み取り候補が不一致,X,メールアドレス
950,2,16,メニュー/(-ecenvenv,708,用語の読み取り候補が不一致,X二八<,メニュー/(-ecenvenv
950,2,17,モリインターリーブ,222,用語の読み取り候補が不一致,X,モリインターリーブ
950,2,19,メモリの分類,210,用語の読み取り候補が不一致,分類,メモリの分類
950,2,20,メモリ変換ユニッ,332,用語の読み取り候補が不一致,换,メモリ変換ユニッ
950,2,24,目標復旧レベル,823,用語の読み取り候補が不一致,目標復,目標復旧レベル
950,2,30,文字の表現方法,125,用語の読み取り候補が不一致,文字の表现方法,文字の表現方法
950,2,31,モジュール強度pence:,724,用語の読み取り候補が不一致,強度,モジュール強度pence:
950,2,32,モジュール結合度,725,用語の読み取り候補が不一致,结合度,モジュール結合度
950,2,33,モジュールに分ける利点と留,722,用語の読み取り候補が不一致,分利点留意点,モジュールに分ける利点と留
950,2,34,モジュールの独立性wacsceccaccca,724,用語の読み取り候補が不一致,一の独立性,モジュールの独立性wacsceccaccca
950,2,35,モジュールの分割,721,用語の読み取り候補が不一致,一分割,モジュールの分割
950,2,36,モジュールの分割技法,723,用語の読み取り候補が不一致,分割技法,モジュールの分割技法
950,2,42,有機Eしディスプレイ,271,用語の読み取り候補が不一致,有機,有機Eしディスプレイ
950,2,43,有限才,107,用語の読み取り候補が不一致,有限才,BRA-—RVRYPT
950,2,44,有限集,52,ページ認識の確度,有限集合,有限集
950,2,45,有限小数,45,ページ認識の確度,有限小数,有限小数
950,2,46,有効アドレス,178,用語の読み取り候補が不一致,有效,有効アドレス
950,2,47,有向グラフにage>。=scscaceo,88,ページ認識の確度 / 用語の読み取り候補が不一致,有向,有向グラフにage>。=scscaceo
950,2,49,ユーザ認証の手法,620,用語の読み取り候補が不一致,手法,ユーザ認証の手法
950,2,52,ユーザビリティの評価手法,712,用語の読み取り候補が不一致,の手法,ユーザビリティの評価手法
951,1,1,ユースケース図|,"737,738",用語の読み取り候補が不一致,一,ユースケース図|
951,1,2,便先度順方式,299,用語の読み取り候補が不一致,優先度顺方式,便先度順方式
951,1,4,ユニーニキャスト,553,用語の読み取り候補が不一致,二,ユニーニキャスト
951,1,7,ユニバーサルデザイン,711,補完した行を要確認,,ユニバーサルデザイン
951,1,8,要求定義ブロセス,"672,673",用語の読み取り候補が不一致,要求定,要求定義ブロセス
951,1,9,要件定義,684,用語の読み取り候補が不一致,要件定羲,要件定義
951,1,10,要件定義書,68,用語の読み取り候補が不一致,要件定装書,要件定義書
951,1,11,要素savecccccocecesevccccancascancet,5,用語の読み取り候補が不一致,要秦,要素savecccccocecesevccccancascancet
951,1,14,方式,218,用語の読み取り候補が不一致,方式,SThAIL-AX
951,1,15,ライトバック方式いい,218,用語の読み取り候補が不一致,方式,ライトバック方式いい
951,1,17,方式,300,用語の読み取り候補が不一致,方式,590YFOEYAX
951,1,19,eea,708,英字の用語が不鮮明,,eea
951,1,22,リアルタイム,305,用語の読み取り候補が不一致,U儿,リアルタイム
951,1,23,U儿夕处理,305,用語の読み取り候補が不一致,U儿夕处理,UPSThE
951,1,28,リエンジニアリング,689,用語の読み取り候補が不一致,UIU,リエンジニアリング
951,1,33,リスクアセスメント,612,ページ認識の確度,,リスクアセスメント
951,1,36,"リスク対応onconccasece,","612,613",用語の読み取り候補が不一致,U夕对応,"リスク対応onconccasece,"
951,1,39,UD Re Be by bo a a po,613,補完した行を要確認,,UD Re Be by bo a a po
951,1,41,リスクマネジメントに含まれる4つのプ,61,ページ認識の確度,,リスクマネジメントに含まれる4つのプ
951,1,46,リトルエンディアン,18,ページ認識の確度,,リトルエンディアン
951,1,47,リバースエンジニアリング,969689,掲載ページの数字,,リバースエンジニアリング
951,1,48,リバースプルートフォース攻撃,624,用語の読み取り候補が不一致,攻,リバースプルートフォース攻撃
951,1,50,リピータハブ,52,用語の読み取り候補が不一致,八,リピータハブ
951,1,53,リミットチェック,719,用語の読み取り候補が不一致,U,リミットチェック
951,1,54,リムーバブルメディア,243,用語の読み取り候補が不一致,UL,リムーバブルメディア
951,2,8,隣接行列,90,ページ認識の確度 / 用語の読み取り候補が不一致,接行列,隣接行列
951,2,11,ルーティングテープル,530,ページ認識の確度,,ルーティングテープル
951,2,14,レインボー攻撃,624,用語の読み取り候補が不一致,攻擎,レインボー攻撃
951,2,17,レジスタ,171,ページ認識の確度,,レジスタ
951,2,18,レジスタの種類,172,ページ認識の確度 / 用語の読み取り候補が不一致,夕種類,レジスタの種類
951,2,20,レビコード,688,ページ認識の確度,"tn-""",レビコード
951,2,21,運関図法,"847,853",用語の読み取り候補が不一致,连法,運関図法
951,2,22,連携編集,362,用語の読み取り候補が不一致,速携辐集,連携編集
951,2,23,連格的强度,724,用語の読み取り候補が不一致,連格的强度,ERO
951,2,24,労働基準法,884,用語の読み取り候補が不一致,劳基萍法,労働基準法
951,2,25,労働者派遣法,885,用語の読み取り候補が不一致,劳者派遗法,労働者派遣法
951,2,26,労働力の提供形態,86,ページ認識の確度 / 用語の読み取り候補が不一致,劳物力の提供形態,労働力の提供形態
951,2,31,ログアウト,619,ページ認識の確度,,ログアウト
951,2,32,ログイン,619,ページ認識の確度,,ログイン
951,2,33,ログオン,619,ページ認識の確度,,ログオン
951,2,34,ログ改ざんツール,626,用語の読み取り候補が不一致,改,ログ改ざんツール
951,2,35,ロングテール,873,ページ認識の確度,,ロングテール
951,2,37,論理深算子,461,ページ認識の確度 / 用語の読み取り候補が不一致,理滨算子,論理深算子
951,2,38,論理回路,"140,156",用語の読み取り候補が不一致,理回路,論理回路
951,2,39,azシフト,39,ページ認識の確度 / 用語の読み取り候補が不一致,理,azシフト
951,2,43,論理的強度,724,用語の読み取り候補が不一致,理的强度,論理的強度
